"","YEAR","DATE","OPPONENT","RESULT","W.L","ATTENDANCE"
"150",2016,2016-02-10,"vsLA","W139-134 OT","32-23","18186"
"151",2016,2016-02-25,"vsMilwaukee","W112-107","34-25","18157"
"152",2016,2016-02-27,"vsMiami","W101-89","35-25","18624"
"153",2016,2016-02-29,"vsUtah","W100-95","36-25","17680"
"154",2016,2016-03-02,"vsPortland","W116-93","37-25","18624"
"155",2016,2016-03-04,"vsNew York","W105-104","38-25","18624"
"156",2016,2016-03-09,"vsMemphis","W116-96","39-26","17790"
"157",2016,2016-03-11,"vsHouston","L102-98","39-27","18624"
"158",2016,2016-03-16,"vsOklahoma City","L130-109","39-29","18624"
"159",2016,2016-03-21,"vsOrlando","W107-96","41-30","18624"
"160",2016,2016-03-23,"vsToronto","W91-79","42-30","18624"
"161",2016,2016-04-06,"vsNew Orleans","W104-97","46-32","18624"
"162",2016,2016-04-08,"vsMilwaukee","W124-109","47-32","18624"
"163",2016,2016-04-11,"vsCharlotte","L114-100","47-34","18624"
"164",2016,2016-04-13,"vsMiami","W98-88","48-34","18624"
"165",2016,2016-10-26,"vsBrooklyn","W122-117","1-0","18624"
"166",2016,2016-11-02,"vsChicago","W107-100","3-1","18624"
"167",2016,2016-11-06,"vsDenver","L123-107","3-3","17452"
"168",2016,2016-11-11,"vsNew York","W115-87","4-4","18624"
"169",2016,2016-11-16,"vsDallas","W90-83","6-5","18624"
"170",2016,2016-11-18,"vsGolden State","L104-88","6-6","18624"
"171",2016,2016-11-25,"vsSan Antonio","L109-103","9-7","18624"
"172",2016,2016-11-30,"vsDetroit","L121-114","10-8","17338"
"173",2016,2016-12-02,"vsSacramento","W97-92","11-8","18624"
"174",2016,2016-12-09,"vsToronto","L101-94","13-10","18624"
"175",2016,2016-12-16,"vsCharlotte","W96-88","14-12","18624"
"176",2016,2016-12-23,"vsOklahoma City","L117-112","17-13","18624"
"177",2016,2016-12-27,"vsMemphis","W113-103","19-13","18624"
"178",2016,2016-12-30,"vsMiami","W117-114","20-14","18624"
"179",2017,2017-01-03,"vsUtah","W115-104","21-14","18624"
"180",2017,2017-01-06,"vsPhiladelphia","W110-106","22-14","18624"
"181",2017,2017-01-07,"vsNew Orleans","W117-108","23-14","18624"
"182",2017,2017-01-11,"vsWashington","W117-108","24-15","18624"
"183",2017,2017-01-16,"vsCharlotte","W108-98","26-15","18624"
"184",2017,2017-01-18,"vsNew York","L117-106","26-16","18624"
"185",2017,2017-01-21,"vsPortland","L127-123 OT","26-17","18624"
"186",2017,2017-01-25,"vsHouston","W120-109","27-18","18624"
"187",2017,2017-01-27,"vsOrlando","W128-98","28-18","18624"
"188",2017,2017-01-30,"vsDetroit","W113-109","30-18","18188"
"189",2017,2017-02-01,"vsToronto","W109-104","31-18","18624"
"190",2017,2017-02-03,"vsLos Angeles","W113-107","32-18","18624"
"191",2017,2017-02-05,"vsLA","W107-102","33-18","18624"
"192",2017,2017-02-15,"vsPhiladelphia","W116-108","37-19","18624"
"193",2017,2017-02-27,"vsAtlanta","L114-98","38-22","18624"
"194",2017,2017-03-01,"vsCleveland","W103-99","39-22","18624"
"195",2017,2017-03-12,"vsChicago","W100-80","42-25","18624"
"196",2017,2017-03-15,"vsMinnesota","W117-104","43-25","18624"
"197",2017,2017-03-20,"vsWashington","W110-102","45-26","18624"
"198",2017,2017-03-22,"vsIndiana","W109-100","46-26","18624"
"199",2017,2017-03-24,"vsPhoenix","W130-120","47-26","18624"
"200",2017,2017-03-26,"vsMiami","W112-108","48-26","18624"
"201",2017,2017-03-29,"vsMilwaukee","L103-100","48-27","18624"
"202",2017,2017-03-31,"vsOrlando","W117-116","49-27","18624"
"203",2017,2017-04-05,"vsCleveland","L114-91","50-28","18624"
"204",2017,2017-04-10,"vsBrooklyn","W114-105","52-29","18624"
"205",2017,2017-04-12,"vsMilwaukee","W112-94","53-29","18624"
"206",2017,2017-10-18,"vsMilwaukeeMilwaukee","L108-100","0-2","18624"
"207",2017,2017-10-24,"vsNew YorkNew York","W110-89","2-2","18624"
"208",2017,2017-10-30,"vsSan AntonioSan Antonio","W108-94","5-2","18624"
"209",2017,2017-11-01,"vsSacramentoSacramento","W113-86","6-2","18624"
"210",2017,2017-11-08,"vsLos AngelesLos Angeles","W107-96","10-2","18624"
"211",2017,2017-11-10,"vsCharlotteCharlotte","W90-87","11-2","18624"
"212",2017,2017-11-12,"vsTorontoToronto","W95-94","12-2","18624"
"213",2017,2017-11-16,"vsGolden StateGolden State","W92-88","14-2","18624"
"214",2017,2017-11-24,"vsOrlandoOrlando","W118-103","17-3","18624"
"215",2017,2017-11-27,"vsDetroitDetroit","L118-108","18-4","18624"
