"","X.2","Gm.","Year","DATE","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled","STATION","NAME","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22"
"29",29,29,2017,"2017-05-05","boxscore","BOS","@","MIN","L-wo",3,4,NA,"15-14",3,"4","Kintzler","Barnes","","3:24","N",28707,"--",NA,"USW00014739","BOSTON, MA US",0.64,0,NA,49,51,47,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,30,2017,"2017-05-06","boxscore","BOS","@","MIN","W",11,1,NA,"16-14",3,"4","Porcello","Tepesch","","3:03","D",30859,"+",NA,"USW00014739","BOSTON, MA US",0.1,0,NA,56,65,49,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,31,2017,"2017-05-07","boxscore","BOS","@","MIN","W",17,6,NA,"17-14",3,"4","Sale","Santana","","3:46","D",31763,"++",NA,"USW00014739","BOSTON, MA US",0,0,NA,58,64,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,32,2017,"2017-05-09","boxscore","BOS","@","MIL","L",7,11,NA,"17-15",3,"5","Torres","Pomeranz","","3:38","N",22524,"-",NA,"USW00014739","BOSTON, MA US",0,0,NA,47,52,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,33,2017,"2017-05-10","boxscore","BOS","@","MIL","L",4,7,NA,"17-16",3,"5","Scahill","Kendrick","","3:37","N",23095,"--",NA,"USW00014739","BOSTON, MA US",0,0,NA,50,55,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,34,2017,"2017-05-11","boxscore","BOS","@","MIL","W",4,1,NA,"18-16",3,"4.5","Kimbrel","Feliz","","3:29","D",26499,"+",NA,"USW00014739","BOSTON, MA US",0,0,NA,51,54,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,35,2017,"2017-05-12","boxscore","BOS","","TBR","L",4,5,NA,"18-17",3,"4.5","Cobb","Porcello","Colome","3:24","N",36496,"-",NA,"USW00014739","BOSTON, MA US",0.01,0,NA,49,53,47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,36,2017,"2017-05-13","boxscore","BOS","","TBR","W",6,3,NA,"19-17",3,"3.5","Sale","Snell","Kimbrel","2:54","D",35447,"+",NA,"USW00014739","BOSTON, MA US",0.02,0,NA,49,53,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,37,2017,"2017-05-14","boxscore","BOS","","TBR","L",2,11,NA,"19-18",3,"4","Andriese","Pomeranz","","4:32","D",35080,"-",NA,"USW00014739","BOSTON, MA US",0.95,0,NA,48,51,46,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,38,2017,"2017-05-16","boxscore","BOS","@","STL","W",6,3,NA,"20-18",3,"4","Rodriguez","Lynn","Kimbrel","3:21","N",41514,"+",NA,"USW00014739","BOSTON, MA US",0,0,NA,65,81,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,39,2017,"2017-05-17","boxscore","BOS","@","STL","W",5,4,13,"21-18",3,"4","Abad","Tuivailala","Taylor","4:20","N",44365,"++",NA,"USW00014739","BOSTON, MA US",0,0,NA,75,92,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,40,2017,"2017-05-18","boxscore","BOS","@","OAK","L",3,8,NA,"21-19",3,"4","Gray","Velazquez","","3:09","N",12016,"-",NA,"USW00014739","BOSTON, MA US",0.05,0,NA,84,95,71,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,41,2017,"2017-05-19","boxscore","BOS","@","OAK","L-wo",2,3,10,"21-20",3,"4","Dull","Hembree","","3:12","N",24728,"--",NA,"USW00014739","BOSTON, MA US",0.01,0,NA,80,90,58,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,42,2017,"2017-05-20","boxscore","BOS","@","OAK","L",3,8,NA,"21-21",4,"4.5","Manaea","Taylor","","3:22","D",20235,"---",NA,"USW00014739","BOSTON, MA US",0,0,NA,58,59,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,43,2017,"2017-05-21","boxscore","BOS","@","OAK","W",12,3,NA,"22-21",3,"4","Rodriguez","Triggs","","3:11","D",20691,"+",NA,"USW00014739","BOSTON, MA US",0,0,NA,56,61,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,44,2017,"2017-05-23","boxscore","BOS","","TEX","W",11,6,NA,"23-21",3,"3.5","Porcello","Cashner","","3:23","N",34769,"++",NA,"USW00014739","BOSTON, MA US",0,0,NA,57,68,53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,45,2017,"2017-05-24","boxscore","BOS","","TEX","W",9,4,NA,"24-21",3,"3.5","Sale","Dyson","","2:59","N",36089,"+++",NA,"USW00014739","BOSTON, MA US",0,0,NA,59,64,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,46,2017,"2017-05-25","boxscore","BOS","","TEX","W",6,2,NA,"25-21",3,"3","Pomeranz","Martinez","","3:23","N",33484,"++++",NA,"USW00014739","BOSTON, MA US",0.63,0,NA,53,55,50,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,47,2017,"2017-05-26","boxscore","BOS","","SEA","W",3,0,NA,"26-21",2,"2","Rodriguez","Gallardo","Kimbrel","3:11","N",35080,"+++++",NA,"USW00014739","BOSTON, MA US",0.55,0,NA,53,60,49,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
