"","Gm.","Year","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled"
"101",101,2017,2017-07-24,"boxscore","BOS","@","SEA","L",0,4,NA,"55-46",1,"up 2.0","Paxton","Rodriguez","","2:40","N","29262","---",NA
"102",102,2017,2017-07-25,"boxscore","BOS","@","SEA","L-wo",5,6,13,"55-47",1,"up 1.0","Zych","Fister","","4:59","N","28992","----",NA
"103",103,2017,2017-07-26,"boxscore","BOS","@","SEA","W",4,0,NA,"56-47",1,"up 1.0","Sale","Moore","Kimbrel","2:53","D","39797","+",NA
"104",104,2017,2017-07-28,"boxscore","BOS","","KCR","L",2,4,NA,"56-48",2,"0.5","Vargas","Porcello","Herrera","2:44","N","37321","-",NA
"105",105,2017,2017-07-29,"boxscore","BOS","","KCR","W-wo",9,8,10,"57-48",2,"0.5","Barnes","Minor","","4:45","N","36912","+",NA
"106",106,2017,2017-07-30,"boxscore","BOS","","KCR","L",3,5,NA,"57-49",2,"0.5","Hammel","Barnes","Herrera","3:13","D","36480","-",NA
"107",107,2017,2017-07-31,"boxscore","BOS","","CLE","W",6,2,NA,"58-49",2,"0.5","Fister","Clevinger","","2:47","N","37169","+",NA
"108",108,2017,2017-08-01,"boxscore","BOS","","CLE","W-wo",12,10,NA,"59-49",1,"up 0.5","Kimbrel","Allen","","3:36","N","37126","++",NA
"109",109,2017,2017-08-03,"boxscore","BOS","","CHW","W",9,5,NA,"60-49",1,"up 2.0","Porcello","Gonzalez","","3:26","N","37442","+++",NA
"110",110,2017,2017-08-04,"boxscore","BOS","","CHW","W-wo",3,2,11,"61-49",1,"up 3.0","Hembree","Bummer","","3:43","N","36612","++++",NA
"111",111,2017,2017-08-05,"boxscore","BOS","","CHW","W",4,1,NA,"62-49",1,"up 3.0","Pomeranz","Shields","Kimbrel","2:41","N","36599","+++++",NA
"112",112,2017,2017-08-06,"boxscore","BOS","","CHW","W",6,3,NA,"63-49",1,"up 3.0","Fister","Pelfrey","Kimbrel","2:36","D","37283","++++++",NA
"113",113,2017,2017-08-08,"boxscore","BOS","@","TBR","W",2,0,NA,"64-49",1,"up 4.0","Sale","Pruitt","Kimbrel","2:52","N","22328","+++++++",NA
"114",114,2017,2017-08-09,"boxscore","BOS","@","TBR","W",8,2,NA,"65-49",1,"up 4.0","Porcello","Odorizzi","","2:59","N","11853","++++++++",NA
"115",115,2017,2017-08-11,"boxscore","BOS","@","NYY","L",4,5,NA,"65-50",1,"up 3.5","Warren","Reed","Chapman","3:40","N","46509","-",NA
"116",116,2017,2017-08-12,"boxscore","BOS","@","NYY","W",10,5,NA,"66-50",1,"up 4.5","Pomeranz","Severino","","3:13","D","47241","+",NA
"117",117,2017,2017-08-13,"boxscore","BOS","@","NYY","W",3,2,10,"67-50",1,"up 5.5","Kimbrel","Chapman","","3:40","N","46610","++",NA
"118",118,2017,2017-08-14,"boxscore","BOS","","CLE","L",3,7,NA,"67-51",1,"up 4.5","Bauer","Fister","","3:14","N","37430","-",NA
"119",119,2017,2017-08-15,"boxscore","BOS","","STL","W",10,4,NA,"68-51",1,"up 4.5","Porcello","Leake","","2:52","N","37345","+",NA
"120",120,2017,2017-08-16,"boxscore","BOS","","STL","W-wo",5,4,NA,"69-51",1,"up 4.5","Kimbrel","Duke","","3:35","N","37181","++",NA
"121",121,2017,2017-08-18,"boxscore","BOS","","NYY","W",9,6,NA,"70-51",1,"up 5.0","Reed","Kahnle","Kimbrel","4:09","N","36784","+++",NA
"122",122,2017,2017-08-19,"boxscore","BOS","","NYY","L",3,4,NA,"70-52",1,"up 4.0","Sabathia","Sale","Betances","3:09","N","37274","-",NA
"123",123,2017,2017-08-20,"boxscore","BOS","","NYY","W",5,1,NA,"71-52",1,"up 5.0","Porcello","Gray","","3:36","D","36911","+",NA
"124",124,2017,2017-08-21,"boxscore","BOS","@","CLE","L-wo",4,5,NA,"71-53",1,"up 4.5","Allen","Workman","","3:39","N","21428","-",NA
"125",125,2017,2017-08-22,"boxscore","BOS","@","CLE","W",9,1,NA,"72-53",1,"up 4.5","Fister","Carrasco","","2:41","N","19563","+",NA
