"","Gm.","Year","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled"
"347",23,2015,2015-05-01,"boxscore","BOS","","NYY","L",2,3,NA,"11-Dec",3,"2","Rogers","Tazawa","Miller","3:14","N","35444","-",""
"348",24,2015,2015-05-02,"boxscore","BOS","","NYY","L",2,4,NA,"12-Dec",3,"3","Eovaldi","Miley","Betances","2:44","D","36611","--",""
"349",25,2015,2015-05-03,"boxscore","BOS","","NYY","L",5,8,NA,"13-Dec",4,"4","Warren","Kelly","Miller","3:52","N","33198","---",""
"350",26,2015,2015-05-04,"boxscore","BOS","","TBR","L",1,5,NA,"14-Dec",5,"4","Odorizzi","Buchholz","","3:10","N","34541","----",""
"351",27,2015,2015-05-05,"boxscore","BOS","","TBR","W",2,0,NA,"13-14",4,"4","Porcello","Smyly","Uehara","2:26","N","33688","+",""
"352",28,2015,2015-05-06,"boxscore","BOS","","TBR","L",3,5,NA,"13-15",5,"4","Colome","Masterson","Boxberger","3:22","N","35060","-",""
"353",29,2015,2015-05-08,"boxscore","BOS","@","TOR","L",0,7,NA,"13-16",4,"5.5","Sanchez","Miley","","2:41","N","30430","--",""
"354",30,2015,2015-05-09,"boxscore","BOS","@","TOR","L",1,7,NA,"13-17",5,"5.5","Hutchison","Kelly","","3:12","D","42917","---",""
"355",31,2015,2015-05-10,"boxscore","BOS","@","TOR","W",6,3,NA,"14-17",4,"5.5","Buchholz","Dickey","Uehara","2:38","D","42419","+",""
"356",32,2015,2015-05-11,"boxscore","BOS","@","OAK","W",5,4,11,"15-17",4,"5.5","Barnes","Castro","","3:57","N","19743","++",""
"357",33,2015,2015-05-12,"boxscore","BOS","@","OAK","L",2,9,NA,"15-18",4,"5.5","Pomeranz","Masterson","","2:32","N","24605","-",""
"358",34,2015,2015-05-13,"boxscore","BOS","@","OAK","W",2,0,NA,"16-18",4,"4.5","Miley","Gray","Uehara","2:33","D","22389","+",""
"359",35,2015,2015-05-14,"boxscore","BOS","@","SEA","W",2,1,NA,"17-18",3,"3.5","Barnes","Rodney","Uehara","2:53","N","20172","++",""
"360",36,2015,2015-05-15,"boxscore","BOS","@","SEA","L-wo",1,2,NA,"17-19",3,"3.5","Wilhelmsen","Layne","","2:32","N","39477","-",""
"361",37,2015,2015-05-16,"boxscore","BOS","@","SEA","W",4,2,NA,"18-19",3,"3.5","Porcello","Hernandez","Uehara","2:48","N","45055","+",""
"362",38,2015,2015-05-17,"boxscore","BOS","@","SEA","L",0,5,NA,"18-20",3,"3.5","Paxton","Wright","","2:31","D","39936","-",""
"363",39,2015,2015-05-19,"boxscore","BOS","","TEX","W",4,3,NA,"19-20",3,"2.5","Miley","Gallardo","Uehara","2:50","N","36580","+",""
"364",40,2015,2015-05-20,"boxscore","BOS","","TEX","L",1,2,NA,"19-21",3,"2.5","Klein","Kelly","Tolleson","3:13","N","35726","-",""
"365",41,2015,2015-05-21,"boxscore","BOS","","TEX","L",1,3,NA,"19-22",4,"3.5","Rodriguez","Buchholz","Tolleson","2:49","N","34945","--",""
"366",42,2015,2015-05-22,"boxscore","BOS","","LAA","L",5,12,NA,"19-23",4,"4.5","Richards","Porcello","","3:35","N","36150","---",""
"367",43,2015,2015-05-23,"boxscore","BOS","","LAA","W",8,3,NA,"20-23",4,"3.5","Wright","Wilson","","3:09","N","37735","+",""
"368",44,2015,2015-05-24,"boxscore","BOS","","LAA","W",6,1,NA,"21-23",3,"2.5","Miley","Santiago","","2:37","D","37742","++",""
"369",45,2015,2015-05-25,"boxscore","BOS","@","MIN","L",2,7,NA,"21-24",4,"2.5","Nolasco","Kelly","","2:52","D","29472","-",""
"370",46,2015,2015-05-26,"boxscore","BOS","@","MIN","L",1,2,NA,"21-25",4,"3","Pelfrey","Buchholz","Perkins","2:36","N","23268","--",""
"371",47,2015,2015-05-27,"boxscore","BOS","@","MIN","L",4,6,NA,"21-26",4,"4","Hughes","Porcello","Perkins","2:29","D","30027","---",""
"372",48,2015,2015-05-28,"boxscore","BOS","@","TEX","W",5,1,NA,"22-26",4,"3","Rodriguez","Martinez","","2:49","N","34085","+",""
"373",49,2015,2015-05-29,"boxscore","BOS","@","TEX","L",4,7,NA,"22-27",5,"3","Gallardo","Wright","Tolleson","2:59","N","38176","-",""
"374",50,2015,2015-05-30,"boxscore","BOS","@","TEX","L",0,8,NA,"22-28",5,"4","Gonzalez","Miley","","2:49","N","42831","--",""
"375",51,2015,2015-05-31,"boxscore","BOS","@","TEX","L-wo",3,4,NA,"22-29",5,"4","Ohlendorf","Uehara","","3:16","D","32848","---",""
"376",52,2015,2015-06-02,"boxscore","BOS","","MIN","W",1,0,NA,"23-29",4,"4.5","Buchholz","Pelfrey","Uehara","2:21","N","32622","+",""
"377",53,2015,2015-06-03,"boxscore","BOS","","MIN","W",6,3,NA,"24-29",4,"5","Rodriguez","Hughes","","2:33","D","31704","++",""
"378",54,2015,2015-06-03,"boxscore","BOS","","MIN","L",0,2,NA,"24-30",4,"5","May","Porcello","Perkins","2:15","N","33291","-","2015-06-01 (Rain)"
"379",55,2015,2015-06-04,"boxscore","BOS","","MIN","L",4,8,NA,"24-31",5,"5.5","Thompson","Uehara","","3:12","D","33615","--",""
"380",56,2015,2015-06-05,"boxscore","BOS","","OAK","W",4,2,NA,"25-31",5,"5.5","Miley","Kazmir","Uehara","2:31","N","34910","+",""
"381",57,2015,2015-06-06,"boxscore","BOS","","OAK","W",4,2,NA,"26-31",4,"5.5","Kelly","Chavez","Uehara","3:10","D","36713","++",""
"382",58,2015,2015-06-07,"boxscore","BOS","","OAK","W",7,4,NA,"27-31",4,"5.5","Wright","Clippard","Layne","3:11","D","36913","+++",""
"383",59,2015,2015-06-09,"boxscore","BOS","@","BAL","L",0,1,NA,"27-32",5,"6.5","Roe","Barnes","Britton","3:08","N","28460","-",""
"384",60,2015,2015-06-10,"boxscore","BOS","@","BAL","L",2,5,NA,"27-33",5,"6.5","Chen","Porcello","O'Day","2:36","N","22201","--",""
"385",61,2015,2015-06-11,"boxscore","BOS","@","BAL","L",5,6,NA,"27-34",5,"7","Tillman","Miley","Britton","2:39","N","22840","---",""
"386",62,2015,2015-06-12,"boxscore","BOS","","TOR","L",10,13,NA,"27-35",5,"7","Delabar","Tazawa","Cecil","3:24","N","37575","----",""
"387",63,2015,2015-06-13,"boxscore","BOS","","TOR","L",4,5,11,"27-36",5,"7","Loup","Barnes","Cecil","3:26","D","37158","-----",""
"388",64,2015,2015-06-14,"boxscore","BOS","","TOR","L",5,13,NA,"27-37",5,"8","Estrada","Rodriguez","","3:12","D","36296","------",""
"389",65,2015,2015-06-15,"boxscore","BOS","","ATL","L",2,4,NA,"27-38",5,"9","Perez","Porcello","Grilli","2:54","N","34439","-------",""
"390",66,2015,2015-06-16,"boxscore","BOS","","ATL","W",9,4,NA,"28-38",5,"8","Miley","Teheran","","2:38","D","35662","+",""
"391",67,2015,2015-06-17,"boxscore","BOS","@","ATL","L",2,5,NA,"28-39",5,"9","Masset","Tazawa","Grilli","3:09","N","28982","-",""
"392",68,2015,2015-06-18,"boxscore","BOS","@","ATL","W",5,2,NA,"29-39",5,"9","Buchholz","Miller","Uehara","3:04","N","31783","+",""
"393",69,2015,2015-06-19,"boxscore","BOS","@","KCR","W",7,3,NA,"30-39",5,"9","Rodriguez","Pino","","2:57","N","38190","++",""
"394",70,2015,2015-06-20,"boxscore","BOS","@","KCR","L",4,7,NA,"30-40",5,"10","Volquez","Porcello","Holland","3:09","N","39115","-",""
"395",71,2015,2015-06-21,"boxscore","BOS","@","KCR","W",13,2,NA,"31-40",5,"9","Miley","Young","","2:58","D","37975","+",""
"396",72,2015,2015-06-23,"boxscore","BOS","","BAL","L",4,6,NA,"31-41",5,"9.5","Jimenez","Kelly","Britton","3:08","N","36508","-",""
"397",73,2015,2015-06-24,"boxscore","BOS","","BAL","W",5,1,NA,"32-41",5,"8.5","Buchholz","Norris","","2:38","N","37762","+",""
"398",74,2015,2015-06-25,"boxscore","BOS","","BAL","L",6,8,NA,"32-42",5,"9","Gonzalez","Rodriguez","Britton","3:06","D","37706","-",""
"399",75,2015,2015-06-26,"boxscore","BOS","@","TBR","W",4,3,10,"33-42",5,"8","Ogando","Geltz","Uehara","3:23","N","17508","+",""
"400",76,2015,2015-06-27,"boxscore","BOS","@","TBR","L",1,4,NA,"33-43",5,"9","Andriese","Miley","Boxberger","2:21","D","23876","-",""
"401",77,2015,2015-06-28,"boxscore","BOS","@","TBR","W",5,3,NA,"34-43",5,"8","Masterson","Archer","Uehara","3:02","D","21963","+",""
"402",78,2015,2015-06-29,"boxscore","BOS","@","TOR","W",3,1,NA,"35-43",5,"7","Buchholz","Dickey","Uehara","2:26","N","27107","++",""
"403",79,2015,2015-06-30,"boxscore","BOS","@","TOR","W",4,3,NA,"36-43",5,"6","Rodriguez","Estrada","Uehara","3:04","N","28942","+++",""
"404",80,2015,2015-07-01,"boxscore","BOS","@","TOR","L",2,11,NA,"36-44",5,"7","Buehrle","Porcello","","2:19","D","45392","-",""
"405",81,2015,2015-07-02,"boxscore","BOS","@","TOR","W",12,6,NA,"37-44",5,"6","Miley","Boyd","","3:34","N","29758","+",""
"406",82,2015,2015-07-03,"boxscore","BOS","","HOU","L",8,12,10,"37-45",5,"7","Hernandez","Ramirez","","4:23","N","37837","-",""
"407",83,2015,2015-07-04,"boxscore","BOS","","HOU","W",6,1,NA,"38-45",5,"7","Buchholz","McHugh","","3:02","D","36703","+",""
"408",84,2015,2015-07-05,"boxscore","BOS","","HOU","W",5,4,NA,"39-45",5,"6","Barnes","Sipp","Uehara","4:01","D","36481","++",""
"409",85,2015,2015-07-07,"boxscore","BOS","","MIA","W",4,3,NA,"40-45",5,"5","Tazawa","Cishek","Uehara","2:44","N","36863","+++",""
"410",86,2015,2015-07-08,"boxscore","BOS","","MIA","W",6,3,NA,"41-45",5,"5","Porcello","Koehler","Uehara","2:41","N","37009","++++",""
"411",87,2015,2015-07-10,"boxscore","BOS","","NYY","L",1,5,NA,"41-46",5,"6.5","Pineda","Buchholz","","3:03","N","37984","-",""
"412",88,2015,2015-07-11,"boxscore","BOS","","NYY","W",5,3,NA,"42-46",5,"5.5","Rodriguez","Nova","Uehara","3:10","N","38047","+",""
"413",89,2015,2015-07-12,"boxscore","BOS","","NYY","L",6,8,NA,"42-47",5,"6.5","Eovaldi","Miley","","3:36","D","37283","-",""
"414",90,2015,2015-07-17,"boxscore","BOS","@","LAA","L-wo",0,1,NA,"42-48",5,"7.5","Smith","Uehara","","2:24","N","43234","--",""
"415",91,2015,2015-07-18,"boxscore","BOS","@","LAA","L",0,3,NA,"42-49",5,"7.5","Richards","Porcello","","2:37","N","43631","---",""
"416",92,2015,2015-07-20,"boxscore","BOS","@","LAA","L",1,11,NA,"42-50",5,"9","Santiago","Rodriguez","","3:05","D","42503","----",""
"417",93,2015,2015-07-20,"boxscore","BOS","@","LAA","L",3,7,NA,"42-51",5,"9","Heaney","Wright","Smith","2:34","N","38042","-----","2015-07-19 (Rain)"
"418",94,2015,2015-07-21,"boxscore","BOS","@","HOU","L",3,8,NA,"42-52",5,"10","Velasquez","Johnson","","3:01","N","26913","------",""
"419",95,2015,2015-07-22,"boxscore","BOS","@","HOU","L",2,4,NA,"42-53",5,"11","McHugh","Kelly","Gregerson","2:44","N","31104","-------",""
"420",96,2015,2015-07-23,"boxscore","BOS","@","HOU","L-wo",4,5,NA,"42-54",5,"12","Fields","Breslow","","3:31","N","30748","--------",""
"421",97,2015,2015-07-24,"boxscore","BOS","","DET","W-wo",2,1,11,"43-54",5,"11","Masterson","Hardy","","3:42","N","37650","+",""
"422",98,2015,2015-07-25,"boxscore","BOS","","DET","L",1,5,NA,"43-55",5,"12","Simon","Wright","","2:57","D","37256","-",""
"423",99,2015,2015-07-26,"boxscore","BOS","","DET","W",11,1,NA,"44-55",5,"12","Rodriguez","Greene","","3:14","N","35582","+",""
"424",100,2015,2015-07-27,"boxscore","BOS","","CHW","L",8,10,NA,"44-56",5,"13","Albers","Ross","Robertson","3:54","N","37401","-",""
"425",101,2015,2015-07-28,"boxscore","BOS","","CHW","L",4,9,NA,"44-57",5,"14","Samardzija","Miley","","2:39","N","38063","--",""
"426",102,2015,2015-07-29,"boxscore","BOS","","CHW","L",2,9,NA,"44-58",5,"14","Quintana","Porcello","","3:42","N","37104","---",""
"427",103,2015,2015-07-30,"boxscore","BOS","","CHW","W",8,2,NA,"45-58",5,"13","Wright","Sale","","2:40","N","36215","+",""
"428",104,2015,2015-07-31,"boxscore","BOS","","TBR","W",7,5,NA,"46-58",5,"13","Tazawa","McGee","Uehara","3:13","N","36715","++",""
"429",105,2015,2015-08-01,"boxscore","BOS","","TBR","W",11,7,NA,"47-58",5,"12","Kelly","Moore","Machi","3:39","D","35944","+++",""
"430",106,2015,2015-08-02,"boxscore","BOS","","TBR","L",3,4,NA,"47-59",5,"13","Geltz","Tazawa","Boxberger","3:10","D","35699","-",""
"431",107,2015,2015-08-04,"boxscore","BOS","@","NYY","L",3,13,NA,"47-60",5,"14","Tanaka","Owens","","3:26","N","48522","--",""
"432",108,2015,2015-08-05,"boxscore","BOS","@","NYY","W",2,1,NA,"48-60",5,"13","Wright","Severino","Uehara","2:51","N","47489","+",""
"433",109,2015,2015-08-06,"boxscore","BOS","@","NYY","L",1,2,NA,"48-61",5,"14","Wilson","Rodriguez","Miller","2:54","N","48608","-",""
"434",110,2015,2015-08-07,"boxscore","BOS","@","DET","W",7,2,NA,"49-61",5,"13","Kelly","Norris","Uehara","3:30","N","38132","+",""
"435",111,2015,2015-08-08,"boxscore","BOS","@","DET","L",6,7,NA,"49-62",5,"13","Hardy","Tazawa","Rondon","3:11","N","42098","-",""
"436",112,2015,2015-08-09,"boxscore","BOS","@","DET","W",7,2,NA,"50-62",5,"12","Owens","Verlander","","3:22","D","38766","+",""
"437",113,2015,2015-08-11,"boxscore","BOS","@","MIA","L-wo",4,5,10,"50-63",5,"12","Morris","Breslow","","3:30","N","31951","-",""
"438",114,2015,2015-08-12,"boxscore","BOS","@","MIA","L",6,14,NA,"50-64",5,"12.5","Barraclough","Rodriguez","","3:07","D","26041","--",""
"439",115,2015,2015-08-14,"boxscore","BOS","","SEA","W",15,1,NA,"51-64",5,"12.5","Kelly","Montgomery","","3:30","N","37678","+",""
"440",116,2015,2015-08-15,"boxscore","BOS","","SEA","W",22,10,NA,"52-64",5,"12.5","Miley","Hernandez","","3:21","D","36027","++",""
"441",117,2015,2015-08-16,"boxscore","BOS","","SEA","L",8,10,12,"52-65",5,"12.5","Rasmussen","Breslow","Farquhar","4:24","D","35260","-",""
"442",118,2015,2015-08-17,"boxscore","BOS","","CLE","L",2,8,NA,"52-66",5,"13.5","Salazar","Barnes","","3:12","N","32701","--",""
"443",119,2015,2015-08-18,"boxscore","BOS","","CLE","W",9,1,NA,"53-66",5,"13.5","Rodriguez","Bauer","","2:56","N","31907","+",""
"444",120,2015,2015-08-19,"boxscore","BOS","","CLE","W",6,4,NA,"54-66",5,"13.5","Kelly","Kluber","Tazawa","3:09","N","32465","++",""
"445",121,2015,2015-08-20,"boxscore","BOS","","KCR","W",4,1,NA,"55-66",5,"12.5","Miley","Duffy","Tazawa","2:49","N","35458","+++",""
"446",122,2015,2015-08-21,"boxscore","BOS","","KCR","W",7,2,NA,"56-66",5,"11.5","Owens","Cueto","","2:31","N","35203","++++",""
"447",123,2015,2015-08-22,"boxscore","BOS","","KCR","L",3,6,NA,"56-67",5,"12.5","Ventura","Barnes","Holland","3:29","N","37135","-",""
"448",124,2015,2015-08-23,"boxscore","BOS","","KCR","L",6,8,NA,"56-68",5,"13","Young","Tazawa","Davis","3:40","D","36151","--",""
"449",125,2015,2015-08-24,"boxscore","BOS","@","CHW","W",5,4,NA,"57-68",5,"12.5","Kelly","Samardzija","Machi","3:10","N","18051","+",""
"450",126,2015,2015-08-25,"boxscore","BOS","@","CHW","L",4,5,NA,"57-69",5,"13.5","Petricka","Miley","Robertson","3:00","N","14393","-",""
"451",127,2015,2015-08-26,"boxscore","BOS","@","CHW","W",3,0,NA,"58-69",5,"13.5","Porcello","Jones","Tazawa","2:31","N","17812","+",""
"452",128,2015,2015-08-28,"boxscore","BOS","@","NYM","W",6,4,10,"59-69",5,"13","Layne","Torres","Breslow","3:59","N","39401","++",""
"453",129,2015,2015-08-29,"boxscore","BOS","@","NYM","W",3,1,NA,"60-69",5,"13","Kelly","deGrom","Machi","2:51","D","43255","+++",""
"454",130,2015,2015-08-30,"boxscore","BOS","@","NYM","L",4,5,NA,"60-70",5,"14","Clippard","Ross","Familia","2:56","D","38938","-",""
"455",131,2015,2015-08-31,"boxscore","BOS","","NYY","W",4,3,NA,"61-70",5,"13","Rodriguez","Nova","Machi","3:44","N","36148","+",""
"456",132,2015,2015-09-01,"boxscore","BOS","","NYY","L",1,3,NA,"61-71",5,"14","Pineda","Porcello","Miller","2:41","N","35077","-",""
"457",133,2015,2015-09-02,"boxscore","BOS","","NYY","L",8,13,NA,"61-72",5,"15","Tanaka","Owens","","3:33","D","34416","--",""
"458",134,2015,2015-09-04,"boxscore","BOS","","PHI","W",7,5,NA,"62-72",5,"14","Kelly","Morgan","Ross","3:22","N","33674","+",""
"459",135,2015,2015-09-05,"boxscore","BOS","","PHI","W",9,2,NA,"63-72",5,"14","Miley","Asher","","2:24","D","36534","++",""
"460",136,2015,2015-09-06,"boxscore","BOS","","PHI","W",6,2,NA,"64-72",5,"14","Rodriguez","Eickhoff","","2:57","D","34708","+++",""
"461",137,2015,2015-09-07,"boxscore","BOS","","TOR","W",11,4,NA,"65-72",4,"13","Porcello","Buehrle","","2:48","D","33659","++++",""
"462",138,2015,2015-09-08,"boxscore","BOS","","TOR","L",1,5,10,"65-73",5,"14","Sanchez","Ogando","","3:23","N","33432","-",""
"463",139,2015,2015-09-09,"boxscore","BOS","","TOR","W",10,4,NA,"66-73",5,"13","Kelly","Hutchison","","3:31","N","34464","+",""
"464",140,2015,2015-09-11,"boxscore","BOS","@","TBR","L",4,8,NA,"66-74",5,"14","Bellatti","Tazawa","","3:26","N","14796","-",""
"465",141,2015,2015-09-12,"boxscore","BOS","@","TBR","W",10,4,NA,"67-74",5,"14.5","Porcello","Moore","","2:56","N","20698","+",""
"466",142,2015,2015-09-13,"boxscore","BOS","@","TBR","W",2,0,13,"68-74",5,"13.5","Hembree","Romero","Ross","4:05","D","15402","++",""
"467",143,2015,2015-09-14,"boxscore","BOS","@","BAL","L",0,2,NA,"68-75",5,"14","Gausman","Rodriguez","Britton","2:56","N","19666","-",""
"468",144,2015,2015-09-15,"boxscore","BOS","@","BAL","L-wo",5,6,13,"68-76",5,"14","Roe","Aro","","4:20","N","21260","--",""
"469",145,2015,2015-09-16,"boxscore","BOS","@","BAL","W",10,1,NA,"69-76",5,"14","Owens","Wright","","2:51","N","22642","+",""
"470",146,2015,2015-09-18,"boxscore","BOS","@","TOR","L",1,6,NA,"69-77",5,"15.5","Stroman","Porcello","","2:32","N","47126","-",""
"471",147,2015,2015-09-19,"boxscore","BOS","@","TOR","W",7,6,NA,"70-77",5,"14.5","Layne","Osuna","Ross","3:08","D","47415","+",""
"472",148,2015,2015-09-20,"boxscore","BOS","@","TOR","W",4,3,NA,"71-77",5,"13.5","Hill","Cecil","Ross","2:51","D","46743","++",""
"473",149,2015,2015-09-21,"boxscore","BOS","","TBR","W",8,7,NA,"72-77",4,"13.5","Machi","Gomes","Ross","3:47","N","33673","+++",""
"474",150,2015,2015-09-22,"boxscore","BOS","","TBR","L",2,5,NA,"72-78",5,"13.5","Moore","Owens","Boxberger","2:43","N","33673","-",""
"475",151,2015,2015-09-23,"boxscore","BOS","","TBR","L",2,6,NA,"72-79",5,"14.5","Smyly","Porcello","Boxberger","3:30","N","32753","--",""
"476",152,2015,2015-09-24,"boxscore","BOS","","TBR","L",2,4,NA,"72-80",5,"15","Ramirez","Miley","Boxberger","2:39","N","34916","---",""
"477",153,2015,2015-09-25,"boxscore","BOS","","BAL","W",7,0,NA,"73-80",5,"15","Hill","Gausman","","2:42","N","32411","+",""
"478",154,2015,2015-09-26,"boxscore","BOS","","BAL","W",8,0,NA,"74-80",5,"15","Hembree","Chen","","2:56","D","36316","++",""
"479",155,2015,2015-09-27,"boxscore","BOS","","BAL","W",2,0,NA,"75-80",4,"15","Owens","Jimenez","Ross","2:28","D","33306","+++",""
"480",156,2015,2015-09-28,"boxscore","BOS","@","NYY","W",5,1,NA,"76-80",3,"15","Rodriguez","Nova","","2:56","N","39476","++++",""
"481",157,2015,2015-09-29,"boxscore","BOS","@","NYY","W",10,4,NA,"77-80",3,"14.5","Porcello","Pineda","","2:57","N","38512","+++++",""
"482",158,2015,2015-09-30,"boxscore","BOS","@","NYY","W",9,5,11,"78-80",3,"14","Ogando","Bailey","","4:10","N","39328","++++++",""
"483",159,2015,2015-10-01,"boxscore","BOS","@","NYY","L",1,4,NA,"78-81",3,"14","Sabathia","Hill","Betances","3:10","N","40033","-",""
"484",160,2015,2015-10-02,"boxscore","BOS","@","CLE","L",2,8,NA,"78-82",4,"15","Tomlin","Owens","","3:00","N","28273","--",""
"485",161,2015,2015-10-03,"boxscore","BOS","@","CLE","L",0,2,NA,"78-83",5,"15","Kluber","Breslow","Allen","2:41","N","17342","---",""
"486",162,2015,2015-10-04,"boxscore","BOS","@","CLE","L",1,3,NA,"78-84",5,"15","Salazar","Porcello","Allen","2:46","D","17844","----",""
"487",1,2014,2014-03-31,"boxscore","BOS","@","BAL","L",1,2,NA,"0-1",4,"1","Britton","Lester","Hunter","2:53","D","46685","-",""
"488",2,2014,2014-04-02,"boxscore","BOS","@","BAL","W",6,2,NA,"1-Jan",2,"0.5","Lackey","Jimenez","","2:43","N","25708","+",""
"489",3,2014,2014-04-03,"boxscore","BOS","@","BAL","W",4,3,NA,"1-Feb",1,"up 0.5","Doubront","Chen","Uehara","2:55","N","20880","++",""
"490",4,2014,2014-04-04,"boxscore","BOS","","MIL","L",2,6,NA,"2-Feb",2,"0.5","Kintzler","Mujica","","3:19","D","36728","-",""
"491",5,2014,2014-04-05,"boxscore","BOS","","MIL","L",6,7,11,"3-Feb",3,"1.5","Thornburg","Badenhop","Rodriguez","4:23","N","35729","--",""
"492",6,2014,2014-04-06,"boxscore","BOS","","MIL","L",0,4,NA,"4-Feb",4,"1.5","Gallardo","Lester","","2:57","D","35958","---",""
"493",7,2014,2014-04-07,"boxscore","BOS","","TEX","W",5,1,NA,"4-Mar",3,"1","Lackey","Scheppers","","3:07","N","35842","+",""
"494",8,2014,2014-04-08,"boxscore","BOS","","TEX","L",7,10,NA,"5-Mar",4,"1.5","Perez","Doubront","","3:11","N","34142","-",""
"495",9,2014,2014-04-09,"boxscore","BOS","","TEX","W",4,2,NA,"5-Apr",3,"1","Miller","Ogando","Uehara","2:57","D","33585","+",""
"496",10,2014,2014-04-10,"boxscore","BOS","@","NYY","L",1,4,NA,"6-Apr",5,"1","Pineda","Buchholz","Phelps","2:55","N","42821","-",""
"497",11,2014,2014-04-11,"boxscore","BOS","@","NYY","W",4,2,NA,"6-May",3,"1","Lester","Sabathia","Mujica","3:01","N","44121","+",""
"498",12,2014,2014-04-12,"boxscore","BOS","@","NYY","L",4,7,NA,"7-May",5,"2","Kuroda","Lackey","Kelley","3:07","D","48572","-",""
"499",13,2014,2014-04-13,"boxscore","BOS","@","NYY","L",2,3,NA,"8-May",5,"2","Nova","Doubront","Kelley","3:08","N","46081","--",""
"500",14,2014,2014-04-15,"boxscore","BOS","@","CHW","L-wo",1,2,NA,"9-May",5,"3","Webb","Badenhop","","3:36","N","13402","---",""
"501",15,2014,2014-04-16,"boxscore","BOS","@","CHW","W",6,4,14,"9-Jun",5,"3","Capuano","Garcia","Badenhop","5:17","N","13302","+",""
"502",16,2014,2014-04-17,"boxscore","BOS","@","CHW","W",3,1,NA,"9-Jul",4,"3","Lester","Belisario","Uehara","2:54","N","17454","++",""
"503",17,2014,2014-04-18,"boxscore","BOS","","BAL","L",4,8,NA,"10-Jul",5,"3","Tillman","Lackey","O'Day","3:26","N","36408","-",""
"504",18,2014,2014-04-19,"boxscore","BOS","","BAL","W",4,2,NA,"10-Aug",5,"2","Tazawa","Norris","Uehara","2:47","D","37689","+",""
"505",19,2014,2014-04-20,"boxscore","BOS","","BAL","W-wo",6,5,NA,"10-Sep",3,"2","Mujica","Matusz","","3:22","N","33947","++",""
"506",20,2014,2014-04-21,"boxscore","BOS","","BAL","L",6,7,NA,"11-Sep",5,"2.5","Chen","Buchholz","Hunter","3:18","D","37513","-",""
"507",21,2014,2014-04-22,"boxscore","BOS","","NYY","L",3,9,NA,"12-Sep",5,"3.5","Tanaka","Lester","","3:17","N","37041","--",""
"508",22,2014,2014-04-23,"boxscore","BOS","","NYY","W",5,1,NA,"12-Oct",5,"2.5","Lackey","Pineda","","3:12","N","37015","+",""
"509",23,2014,2014-04-24,"boxscore","BOS","","NYY","L",5,14,NA,"13-Oct",5,"3.5","Sabathia","Doubront","","3:51","N","37356","-",""
"510",24,2014,2014-04-25,"boxscore","BOS","@","TOR","W",8,1,NA,"13-Nov",4,"2.5","Peavy","Buehrle","","2:57","N","29411","+",""
"511",25,2014,2014-04-26,"boxscore","BOS","@","TOR","W",7,6,NA,"13-Dec",3,"2.5","Buchholz","Morrow","Uehara","3:23","D","40322","++",""
"512",26,2014,2014-04-27,"boxscore","BOS","@","TOR","L",1,7,NA,"14-Dec",4,"3.5","Dickey","Lester","","2:28","D","45260","-",""
"513",27,2014,2014-04-29,"boxscore","BOS","","TBR","W",7,4,NA,"13-14",3,"2.5","Lackey","Gomes","Uehara","3:40","N","34794","+",""
"514",28,2014,2014-05-01,"boxscore","BOS","","TBR","L",1,2,NA,"13-15",4,"3","Gomes","Peavy","Balfour","3:27","D","35621","-",""
"515",29,2014,2014-05-01,"boxscore","BOS","","TBR","L",5,6,NA,"13-16",4,"3","McGee","Uehara","Balfour","3:44","N","33465","--","2014-04-30 (Rain)"
"516",30,2014,2014-05-02,"boxscore","BOS","","OAK","W",7,1,NA,"14-16",3,"2.5","Buchholz","Straily","","3:37","N","34850","+",""
"517",31,2014,2014-05-03,"boxscore","BOS","","OAK","W",6,3,NA,"15-16",3,"2","Lester","Milone","Uehara","2:44","D","37042","++",""
"518",32,2014,2014-05-04,"boxscore","BOS","","OAK","L",2,3,10,"15-17",3,"2","Johnson","Capuano","","3:45","D","35649","-",""
"519",33,2014,2014-05-06,"boxscore","BOS","","CIN","W-wo",4,3,12,"16-17",3,"1.5","Breslow","Ondrusek","","4:04","N","36004","+",""
"520",34,2014,2014-05-07,"boxscore","BOS","","CIN","W",4,3,NA,"17-17",3,"1.5","Breslow","Hoover","Uehara","2:47","N","37072","++",""
"521",35,2014,2014-05-09,"boxscore","BOS","@","TEX","L",0,8,NA,"17-18",4,"3","Darvish","Buchholz","","3:10","N","45392","-",""
"522",36,2014,2014-05-10,"boxscore","BOS","@","TEX","W",8,3,NA,"18-18",3,"3","Lester","Perez","","3:09","N","47964","+",""
"523",37,2014,2014-05-11,"boxscore","BOS","@","TEX","W",5,2,NA,"19-18",3,"2","Lackey","Ross","Uehara","2:47","D","41407","++",""
"524",38,2014,2014-05-13,"boxscore","BOS","@","MIN","L-wo",6,8,NA,"19-19",2,"1.5","Perkins","Miller","","3:25","N","23949","-",""
"525",39,2014,2014-05-14,"boxscore","BOS","@","MIN","W",9,4,NA,"20-19",2,"0.5","Doubront","Correia","","3:07","N","26802","+",""
"526",40,2014,2014-05-15,"boxscore","BOS","@","MIN","L-wo",3,4,10,"20-20",3,"1.5","Duensing","Miller","","3:21","D","29628","-",""
