"Date","Attendance","Opponent","Vs","STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
2016-02-03,17297,"vsDetroit",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,14.54,",,W",0.33,",,W,2400",0,",,W",NA,NA,42,"H,,S",57,",,W",35,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2016-02-07,18624,"vsSacramento",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,9.84,",,W",0,",,W,2400",0,",,W",NA,NA,34,"H,,S",44,",,W",29,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2016-02-10,18186,"vsLA",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,6.71,",,W",0,"T,,W,2400",0.1,",,W",NA,NA,28,"H,,S",36,",,W",20,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2016-02-25,18157,"vsMilwaukee",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,22.15,",,W",0.81,",,W,2400",0,",,W",NA,NA,54,"H,,S",62,",,W",41,",,W",1,",,W",NA,"",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2016-02-27,18624,"vsMiami",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,12.3,",,W",0,",,W,2400",0,",,W",NA,NA,29,"H,,S",39,",,W",21,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2016-02-29,17680,"vsUtah",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,16.33,",,W",0,"T,,W,2400",0,",,W",NA,NA,50,"H,,S",64,",,W",43,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2016-03-02,18624,"vsPortland",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,19.24,",,W",0.37,",,W,2400",0,",,W",NA,NA,43,"H,,S",53,",,W",25,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2016-03-04,18624,"vsNew York",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,11.63,",,W",0.01,",,W,2400",0.5,",,W",NA,NA,29,"H,,S",31,",,W",26,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2016-03-09,17790,"vsMemphis",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,13.42,",,W",0,",,W,2400",0,",,W",NA,NA,53,"H,,S",77,",,W",40,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2016-03-11,18624,"vsHouston",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,6.93,",,W",0.09,",,W,2400",0,",,W",NA,NA,48,"H,,S",50,",,W",41,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2016-03-16,18624,"vsOklahoma City",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,8.28,",,W",0.03,",,W,2400",0,",,W",NA,NA,43,"H,,S",48,",,W",41,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2016-03-21,18624,"vsOrlando",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,10.07,",,W",0.22,",,W,2400",3.6,",,W",NA,NA,33,"H,,S",44,",,W",28,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2016-03-23,18624,"vsToronto",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,11.63,",,W",0,"T,,W,2400",0,",,W",NA,NA,49,"H,,S",63,",,W",42,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2016-04-06,18624,"vsNew Orleans",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,10.07,",,W",0,",,W,2400",0,",,W",NA,NA,33,"H,,S",42,",,W",25,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2016-04-08,18624,"vsMilwaukee",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,14.99,",,W",0,"T,,W,2400",0,",,W",NA,NA,49,"H,,S",53,",,W",37,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2016-04-11,18624,"vsCharlotte",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,16.78,",,W",0.01,",,W,2400",0,",,W",NA,NA,48,"H,,S",60,",,W",42,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2016-04-13,18624,"vsMiami",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,10.29,",,W",0,",,W,2400",0,",,W",NA,NA,45,"H,,S",50,",,W",38,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2016-12-30,18624,"vsLos Angeles",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,17.67,",,W",0,"T,,W,2400",0,"T,,W",NA,NA,36,"H,,S",41,",,W",30,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
