"","X","YEAR","DATE","OPPONENT","RESULT","W.L","ATTENDANCE","STATION","NAME","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22"
"45",45,2013,"2013-11-15","vsPortland","L109-96","4-6","18,624","USW00014739","BOSTON, MA US",0,0,NA,47,62,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,2013,"2013-11-22","vsIndiana","L97-82","4-10","18,624","USW00014739","BOSTON, MA US",0.25,0,NA,44,48,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,2013,"2013-11-27","vsMemphis","L100-93","6-11","17,319","USW00014739","BOSTON, MA US",1.79,0,NA,51,62,39,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",48,2013,"2013-11-29","vsCleveland","W103-86","7-11","17,685","USW00014739","BOSTON, MA US",0,0,NA,29,35,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,2013,"2013-12-03","vsMilwaukee","W108-100","8-12","16,649","USW00014739","BOSTON, MA US",0,0,NA,40,49,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,2013,"2013-12-06","vsDenver","W106-98","9-12","17,263","USW00014739","BOSTON, MA US",0.3,0,NA,52,57,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",51,2013,"2013-12-11","vsLA","L96-88","10-14","17,587","USW00014739","BOSTON, MA US",0,0,NA,28,32,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",52,2013,"2013-12-13","vsNew York","W90-86","11-14","17,479","USW00014739","BOSTON, MA US",0,0,NA,23,30,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,2013,"2013-12-16","vsMinnesota","W101-97","12-14","17,071","USW00014739","BOSTON, MA US",0,0,NA,28,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",54,2013,"2013-12-18","vsDetroit","L107-106","12-15","17,101","USW00014739","BOSTON, MA US",0,0,NA,25,36,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",55,2013,"2013-12-21","vsWashington","L106-99","12-16","18,169","USW00014739","BOSTON, MA US",0,0,NA,46,54,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,2013,"2013-12-28","vsCleveland","W103-100","13-17","18,264","USW00014739","BOSTON, MA US",0,0,NA,35,48,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",57,2013,"2013-12-31","vsAtlanta","L92-91","13-18","18,264","USW00014739","BOSTON, MA US",0,0,NA,21,26,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",58,2014,"2014-01-03","vsNew Orleans","L95-92","13-20","18,264","USW00014739","BOSTON, MA US",0.19,4.5,NA,6,14,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",59,2014,"2014-01-13","vsHouston","L104-92","13-26","17,750","USW00014739","BOSTON, MA US",0,0,NA,40,51,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,2014,"2014-01-15","vsToronto","W88-83","14-26","17,569","USW00014739","BOSTON, MA US",0,0,NA,43,48,35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",61,2014,"2014-01-17","vsLos Angeles","L107-104","14-27","18,624","USW00014739","BOSTON, MA US",0,0,NA,39,46,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",62,2014,"2014-01-24","vsOklahoma City","L101-83","15-30","18,624","USW00014739","BOSTON, MA US",0,0,NA,13,19,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,2014,"2014-01-26","vsBrooklyn","L85-79","15-31","18,624","USW00014739","BOSTON, MA US",0,0,NA,22,26,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,2014,"2014-01-29","vsPhiladelphia","L95-94","15-33","18,624","USW00014739","BOSTON, MA US",0.01,0,NA,20,27,15,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,2014,"2014-02-02","vsOrlando","W96-89","16-33","18,624","USW00014739","BOSTON, MA US",0.02,0,NA,40,55,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",66,2014,"2014-02-07","vsSacramento","W99-89","18-33","18,624","USW00014739","BOSTON, MA US",0,0,NA,24,30,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,2014,"2014-02-09","vsDallas","L102-91","18-34","17,650","USW00014739","BOSTON, MA US",0.03,0.3,NA,26,30,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",68,2014,"2014-02-12","vsSan Antonio","L104-92","19-35","17,922","USW00014739","BOSTON, MA US",0,0,NA,17,23,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",69,2014,"2014-02-26","vsAtlanta","W115-104","20-39","16,605","USW00014739","BOSTON, MA US",0,0,NA,24,32,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",70,2014,"2014-03-01","vsIndiana","L102-97","20-40","18,624","USW00014739","BOSTON, MA US",0,0,NA,24,36,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,2014,"2014-03-05","vsGolden State","L108-88","20-41","18,155","USW00014739","BOSTON, MA US",0,0.1,NA,26,29,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",72,2014,"2014-03-07","vsBrooklyn","W91-84","21-41","18,195","USW00014739","BOSTON, MA US",0,0,NA,25,34,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",73,2014,"2014-03-09","vsDetroit","W118-111","22-41","18,624","USW00014739","BOSTON, MA US",0,0,NA,37,43,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,2014,"2014-03-12","vsNew York","L116-92","22-43","18,624","USW00014739","BOSTON, MA US",0.43,0,NA,42,46,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",75,2014,"2014-03-14","vsPhoenix","L87-80","22-44","18,624","USW00014739","BOSTON, MA US",0,0,NA,24,39,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,2014,"2014-03-19","vsMiami","W101-96","23-46","18,624","USW00014739","BOSTON, MA US",0,0,NA,33,41,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",77,2014,"2014-03-26","vsToronto","L99-90","23-48","18,341","USW00014739","BOSTON, MA US",0,0,NA,32,35,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",78,2014,"2014-03-30","vsChicago","L107-102","23-50","18,624","USW00014739","BOSTON, MA US",2.23,0,NA,40,43,36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,2014,"2014-04-04","vsPhiladelphia","L111-102","23-53","18,624","USW00014739","BOSTON, MA US",0.26,0,NA,40,44,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,2014,"2014-04-11","vsCharlotte","W106-103","24-55","18,624","USW00014739","BOSTON, MA US",0,0,NA,56,69,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",81,2014,"2014-04-16","vsWashington","L118-102","25-57","18,624","USW00014739","BOSTON, MA US",0.36,0.3,NA,42,45,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",82,2014,"2014-10-29","vsBrooklyn","W121-105","1-0","18624","USW00014739","BOSTON, MA US",0.02,0,NA,60,74,52,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",83,2014,"2014-11-05","vsToronto","L110-107","1-3","16249","USW00014739","BOSTON, MA US",0,0,NA,58,66,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",84,2014,"2014-11-07","vsIndiana","W101-98","2-3","17122","USW00014739","BOSTON, MA US",0,0,NA,47,49,39,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",85,2014,"2014-11-12","vsOklahoma City","L109-94","3-4","17043","USW00014739","BOSTON, MA US",0,0,NA,53,60,46,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",86,2014,"2014-11-14","vsCleveland","L122-121","3-5","18624","USW00014739","BOSTON, MA US",0.23,0,NA,40,44,33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
