"","Gm.","Year","DATE","X","Tm","Opp","W.L","Win","Loss","Save","Time","D.N","Attendance","TAVG","TMAX","TMIN"
"1",1,2017,"2017-04-03","boxscore","BOS","PIT","W","Porcello","Cole","Kimbrel","3:03","D",36594,47,55,38
"2",2,2017,"2017-04-05","boxscore","BOS","PIT","W-wo","Kelly","Bastardo","","3:53","N",36137,40,41,37
"3",3,2017,"2017-04-07","boxscore","BOS","DET","L","Rodriguez","Hembree","","3:35","D",45013,48,54,41
"4",4,2017,"2017-04-08","boxscore","BOS","DET","L","Zimmermann","Rodriguez","Wilson","3:05","D",32622,43,49,38
"5",5,2017,"2017-04-09","boxscore","BOS","DET","W","Barnes","Rondon","Kimbrel","3:27","D",33662,51,66,40
"6",6,2017,"2017-04-10","boxscore","BOS","DET","L","Wilson","Sale","Rodriguez","2:44","D",24672,59,76,44
"7",7,2017,"2017-04-11","boxscore","BOS","BAL","W","Pomeranz","Bundy","","3:15","N",37497,64,84,52
"8",8,2017,"2017-04-12","boxscore","BOS","BAL","L","Givens","Wright","","3:46","N",32211,55,60,48
"9",9,2017,"2017-04-13","boxscore","BOS","PIT","W","Barnes","Nicasio","Kimbrel","3:15","D",32400,53,59,45
"10",10,2017,"2017-04-14","boxscore","BOS","TBR","L","Archer","Porcello","","3:37","N",36813,51,60,44
"11",11,2017,"2017-04-15","boxscore","BOS","TBR","W","Sale","Hunter","Kimbrel","2:54","D",36686,54,70,42
"12",12,2017,"2017-04-16","boxscore","BOS","TBR","W","Kelly","Farquhar","Kimbrel","3:46","D",36209,69,86,57
"13",13,2017,"2017-04-17","boxscore","BOS","TBR","W","Wright","Snell","Kimbrel","3:07","D",37318,70,75,49
"14",14,2017,"2017-04-18","boxscore","BOS","TOR","W","Johnson","Stroman","","3:48","N",29281,49,51,39
"15",15,2017,"2017-04-19","boxscore","BOS","TOR","L","Liriano","Porcello","Osuna","2:45","N",30842,45,56,39
"16",16,2017,"2017-04-20","boxscore","BOS","TOR","W","Kimbrel","Grilli","","3:07","D",44283,48,55,44
"17",17,2017,"2017-04-21","boxscore","BOS","BAL","L","Bundy","Pomeranz","Brach","3:20","N",34442,45,45,44
"18",18,2017,"2017-04-22","boxscore","BOS","BAL","L","Aquino","Wright","O'Day","2:47","N",35457,44,45,43
"19",19,2017,"2017-04-23","boxscore","BOS","BAL","W","Rodriguez","Gausman","Kimbrel","3:34","D",35522,47,58,41
"20",20,2017,"2017-04-26","boxscore","BOS","NYY","L","Severino","Porcello","Chapman","3:16","N",32072,50,56,45
"21",21,2017,"2017-04-27","boxscore","BOS","NYY","L","Tanaka","Sale","","2:21","N",34054,53,59,50
"22",22,2017,"2017-04-28","boxscore","BOS","CHC","W","Pomeranz","Arrieta","Kimbrel","3:28","N",37054,63,82,51
"23",23,2017,"2017-04-29","boxscore","BOS","CHC","L","Lackey","Wright","Davis","3:00","D",36776,73,84,59
"24",24,2017,"2017-04-30","boxscore","BOS","CHC","W","Barnes","Uehara","","3:28","N",36916,55,64,45
"25",25,2017,"2017-05-01","boxscore","BOS","BAL","L","Bundy","Porcello","Brach","3:10","N",33489,47,48,45
"26",26,2017,"2017-05-02","boxscore","BOS","BAL","W","Sale","Asher","Kimbrel","2:33","N",32932,49,66,44
"27",27,2017,"2017-05-03","boxscore","BOS","BAL","W","Pomeranz","Gausman","Kimbrel","3:24","N",33162,56,64,49
"28",28,2017,"2017-05-04","boxscore","BOS","BAL","L","Wilson","Kendrick","","3:21","N",36563,51,56,46
"29",29,2017,"2017-05-05","boxscore","BOS","MIN","L-wo","Kintzler","Barnes","","3:24","N",28707,49,51,47
"30",30,2017,"2017-05-06","boxscore","BOS","MIN","W","Porcello","Tepesch","","3:03","D",30859,56,65,49
"31",31,2017,"2017-05-07","boxscore","BOS","MIN","W","Sale","Santana","","3:46","D",31763,58,64,50
"32",32,2017,"2017-05-09","boxscore","BOS","MIL","L","Torres","Pomeranz","","3:38","N",22524,47,52,42
"33",33,2017,"2017-05-10","boxscore","BOS","MIL","L","Scahill","Kendrick","","3:37","N",23095,50,55,47
"34",34,2017,"2017-05-11","boxscore","BOS","MIL","W","Kimbrel","Feliz","","3:29","D",26499,51,54,48
"35",35,2017,"2017-05-12","boxscore","BOS","TBR","L","Cobb","Porcello","Colome","3:24","N",36496,49,53,47
"36",36,2017,"2017-05-13","boxscore","BOS","TBR","W","Sale","Snell","Kimbrel","2:54","D",35447,49,53,45
"37",37,2017,"2017-05-14","boxscore","BOS","TBR","L","Andriese","Pomeranz","","4:32","D",35080,48,51,46
"38",38,2017,"2017-05-16","boxscore","BOS","STL","W","Rodriguez","Lynn","Kimbrel","3:21","N",41514,65,81,55
"39",39,2017,"2017-05-17","boxscore","BOS","STL","W","Abad","Tuivailala","Taylor","4:20","N",44365,75,92,60
"40",40,2017,"2017-05-18","boxscore","BOS","OAK","L","Gray","Velazquez","","3:09","N",12016,84,95,71
"41",41,2017,"2017-05-19","boxscore","BOS","OAK","L-wo","Dull","Hembree","","3:12","N",24728,80,90,58
"42",42,2017,"2017-05-20","boxscore","BOS","OAK","L","Manaea","Taylor","","3:22","D",20235,58,59,52
"43",43,2017,"2017-05-21","boxscore","BOS","OAK","W","Rodriguez","Triggs","","3:11","D",20691,56,61,48
"44",44,2017,"2017-05-23","boxscore","BOS","TEX","W","Porcello","Cashner","","3:23","N",34769,57,68,53
"45",45,2017,"2017-05-24","boxscore","BOS","TEX","W","Sale","Dyson","","2:59","N",36089,59,64,54
"46",46,2017,"2017-05-25","boxscore","BOS","TEX","W","Pomeranz","Martinez","","3:23","N",33484,53,55,50
"47",47,2017,"2017-05-26","boxscore","BOS","SEA","W","Rodriguez","Gallardo","Kimbrel","3:11","N",35080,53,60,49
"48",48,2017,"2017-05-27","boxscore","BOS","SEA","W","Johnson","Whalen","","2:23","D",36985,56,61,53
"49",49,2017,"2017-05-28","boxscore","BOS","SEA","L","Bergman","Porcello","","3:14","D",37174,58,67,54
"50",50,2017,"2017-05-29","boxscore","BOS","CHW","L","Minaya","Barnes","Robertson","3:16","D",27148,53,54,49
"51",51,2017,"2017-05-30","boxscore","BOS","CHW","W","Sale","Quintana","Kimbrel","3:53","N",21852,51,59,49
"52",52,2017,"2017-05-31","boxscore","BOS","CHW","W","Pomeranz","Swarzak","Kimbrel","2:59","N",19075,59,68,54
"53",53,2017,"2017-06-01","boxscore","BOS","BAL","L","Miley","Rodriguez","","2:38","N",20150,67,79,56
"54",54,2017,"2017-06-02","boxscore","BOS","BAL","L","Asher","Porcello","Brach","2:59","N",33193,65,72,51
"55",55,2017,"2017-06-03","boxscore","BOS","BAL","W","Price","Bundy","Kimbrel","3:22","N",35470,61,69,52
"56",56,2017,"2017-06-04","boxscore","BOS","BAL","W","Sale","Tillman","","3:06","D",31819,62,70,54
"57",57,2017,"2017-06-06","boxscore","BOS","NYY","W","Pomeranz","Tanaka","Kimbrel","3:35","N",41516,50,52,47
"58",58,2017,"2017-06-07","boxscore","BOS","NYY","L","Sabathia","Porcello","","2:42","N",44380,54,62,50
"59",59,2017,"2017-06-08","boxscore","BOS","NYY","L","Pineda","Price","","3:27","N",46194,61,71,51
"60",60,2017,"2017-06-09","boxscore","BOS","DET","W","Barnes","Wilson","Kimbrel","3:36","N",36853,63,79,55
"61",61,2017,"2017-06-10","boxscore","BOS","DET","W","Sale","Saupold","","3:39","N",37162,73,85,61
"62",62,2017,"2017-06-11","boxscore","BOS","DET","L","Norris","Pomeranz","","4:06","N",35457,79,92,66
"63",63,2017,"2017-06-12","boxscore","BOS","PHI","W-wo","Barnes","Fien","","4:16","N",36757,84,95,71
"64",64,2017,"2017-06-13","boxscore","BOS","PHI","W-wo","Abad","Garcia","","4:24","N",37141,85,95,72
"65",65,2017,"2017-06-14","boxscore","BOS","PHI","W","Velazquez","Hellickson","","3:26","N",28263,71,73,59
"66",66,2017,"2017-06-15","boxscore","BOS","PHI","L","Neshek","Sale","Neris","2:25","N",30729,64,75,57
"67",67,2017,"2017-06-16","boxscore","BOS","HOU","W","Kelly","Harris","Kimbrel","3:11","N",36189,64,71,57
"68",68,2017,"2017-06-17","boxscore","BOS","HOU","L","Paulino","Porcello","","2:34","N",41017,61,69,58
"69",69,2017,"2017-06-18","boxscore","BOS","HOU","W","Price","Musgrove","Kimbrel","4:08","N",38389,72,84,68
"70",70,2017,"2017-06-19","boxscore","BOS","KCR","L","Hammel","Boyer","Herrera","3:11","N",27992,75,85,70
"71",71,2017,"2017-06-20","boxscore","BOS","KCR","W","Sale","Strahm","","2:54","N",25983,76,86,68
"72",72,2017,"2017-06-21","boxscore","BOS","KCR","L","Soria","Scott","Herrera","3:07","D",30826,76,84,67
"73",73,2017,"2017-06-23","boxscore","BOS","LAA","W","Porcello","Meyer","","3:07","N",37034,76,90,65
"74",74,2017,"2017-06-24","boxscore","BOS","LAA","L","Ramirez","Price","Parker","3:34","N",36868,76,88,71
"75",75,2017,"2017-06-25","boxscore","BOS","LAA","L","Bridwell","Fister","Petit","2:50","D",36474,77,85,65
"76",76,2017,"2017-06-26","boxscore","BOS","MIN","W","Sale","Berrios","Kimbrel","2:55","N",37172,71,80,62
"77",77,2017,"2017-06-27","boxscore","BOS","MIN","W","Pomeranz","Santiago","","3:18","N",36804,68,77,58
"78",78,2017,"2017-06-28","boxscore","BOS","MIN","L","Mejia","Porcello","Kintzler","3:14","N",37487,67,79,58
"79",79,2017,"2017-06-29","boxscore","BOS","MIN","W","Price","Gibson","Kimbrel","3:24","N",37445,71,79,63
"80",80,2017,"2017-06-30","boxscore","BOS","TOR","W","Boyer","Loup","Kimbrel","4:44","N",41357,74,84,68
"81",81,2017,"2017-07-01","boxscore","BOS","TOR","W","Sale","Liriano","","2:54","D",46672,76,88,69
"82",82,2017,"2017-07-02","boxscore","BOS","TOR","W","Pomeranz","Biagini","Abad","3:34","D",46696,79,90,71
"83",83,2017,"2017-07-03","boxscore","BOS","TEX","W","Hembree","Frieri","","4:07","N",45448,80,87,71
"84",84,2017,"2017-07-04","boxscore","BOS","TEX","W","Price","Darvish","","3:56","N",43267,76,82,67
"85",85,2017,"2017-07-05","boxscore","BOS","TEX","L","Cashner","Fister","","2:52","N",32276,71,79,62
"86",86,2017,"2017-07-06","boxscore","BOS","TBR","L","Faria","Sale","Colome","2:43","N",23375,71,83,61
"87",87,2017,"2017-07-07","boxscore","BOS","TBR","W","Pomeranz","Odorizzi","","3:24","N",24842,67,70,62
"88",88,2017,"2017-07-08","boxscore","BOS","TBR","L","Cobb","Porcello","Colome","2:41","D",23419,71,87,63
"89",89,2017,"2017-07-09","boxscore","BOS","TBR","L","Boxberger","Kelly","Colome","3:07","D",20812,74,83,66
"90",90,2017,"2017-07-14","boxscore","BOS","NYY","W-wo","Scott","Chapman","","3:27","N",37570,62,67,60
"91",91,2017,"2017-07-15","boxscore","BOS","NYY","L","Heller","Fister","","5:50","D",36936,66,73,62
"92",92,2017,"2017-07-16","boxscore","BOS","NYY","L","Sabathia","Porcello","Chapman","3:13","D",37343,74,81,69
"93",93,2017,"2017-07-16","boxscore","BOS","NYY","W","Price","Tanaka","Kimbrel","2:59","N",36719,74,81,69
"94",94,2017,"2017-07-17","boxscore","BOS","TOR","L","Tepera","Hembree","Osuna","3:18","N",36144,76,83,68
"95",95,2017,"2017-07-18","boxscore","BOS","TOR","W-wo","Velazquez","Bolsinger","","4:59","N",36488,74,82,68
"96",96,2017,"2017-07-19","boxscore","BOS","TOR","W","Pomeranz","Sanchez","","2:47","N",37360,79,93,72
"97",97,2017,"2017-07-20","boxscore","BOS","TOR","L","Leone","Fister","Osuna","3:25","D",37094,84,92,71
"98",98,2017,"2017-07-21","boxscore","BOS","LAA","W","Sale","Nolasco","","3:05","N",37714,81,91,73
"99",99,2017,"2017-07-22","boxscore","BOS","LAA","L","Ramirez","Price","","3:07","N",43829,78,83,73
"100",100,2017,"2017-07-23","boxscore","BOS","LAA","L","Bridwell","Porcello","Norris","2:13","D",40471,71,77,64
"101",101,2017,"2017-07-24","boxscore","BOS","SEA","L","Paxton","Rodriguez","","2:40","N",29262,62,65,57
"102",102,2017,"2017-07-25","boxscore","BOS","SEA","L-wo","Zych","Fister","","4:59","N",28992,60,65,56
"103",103,2017,"2017-07-26","boxscore","BOS","SEA","W","Sale","Moore","Kimbrel","2:53","D",39797,67,77,59
"104",104,2017,"2017-07-28","boxscore","BOS","KCR","L","Vargas","Porcello","Herrera","2:44","N",37321,72,82,66
"105",105,2017,"2017-07-29","boxscore","BOS","KCR","W-wo","Barnes","Minor","","4:45","N",36912,68,71,60
"106",106,2017,"2017-07-30","boxscore","BOS","KCR","L","Hammel","Barnes","Herrera","3:13","D",36480,66,73,60
"107",107,2017,"2017-07-31","boxscore","BOS","CLE","W","Fister","Clevinger","","2:47","N",37169,70,80,61
"108",108,2017,"2017-08-01","boxscore","BOS","CLE","W-wo","Kimbrel","Allen","","3:36","N",37126,74,80,67
"109",109,2017,"2017-08-03","boxscore","BOS","CHW","W","Porcello","Gonzalez","","3:26","N",37442,74,84,66
"110",110,2017,"2017-08-04","boxscore","BOS","CHW","W-wo","Hembree","Bummer","","3:43","N",36612,75,85,68
"111",111,2017,"2017-08-05","boxscore","BOS","CHW","W","Pomeranz","Shields","Kimbrel","2:41","N",36599,72,77,67
"112",112,2017,"2017-08-06","boxscore","BOS","CHW","W","Fister","Pelfrey","Kimbrel","2:36","D",37283,71,79,63
"113",113,2017,"2017-08-08","boxscore","BOS","TBR","W","Sale","Pruitt","Kimbrel","2:52","N",22328,67,75,62
"114",114,2017,"2017-08-09","boxscore","BOS","TBR","W","Porcello","Odorizzi","","2:59","N",11853,73,85,65
"115",115,2017,"2017-08-11","boxscore","BOS","NYY","L","Warren","Reed","Chapman","3:40","N",46509,71,77,63
"116",116,2017,"2017-08-12","boxscore","BOS","NYY","W","Pomeranz","Severino","","3:13","D",47241,68,76,63
"117",117,2017,"2017-08-13","boxscore","BOS","NYY","W","Kimbrel","Chapman","","3:40","N",46610,76,86,70
"118",118,2017,"2017-08-14","boxscore","BOS","CLE","L","Bauer","Fister","","3:14","N",37430,72,78,63
"119",119,2017,"2017-08-15","boxscore","BOS","STL","W","Porcello","Leake","","2:52","N",37345,73,80,66
"120",120,2017,"2017-08-16","boxscore","BOS","STL","W-wo","Kimbrel","Duke","","3:35","N",37181,75,85,66
"121",121,2017,"2017-08-18","boxscore","BOS","NYY","W","Reed","Kahnle","Kimbrel","4:09","N",36784,72,81,65
"122",122,2017,"2017-08-19","boxscore","BOS","NYY","L","Sabathia","Sale","Betances","3:09","N",37274,70,74,65
"123",123,2017,"2017-08-20","boxscore","BOS","NYY","W","Porcello","Gray","","3:36","D",36911,75,85,72
"124",124,2017,"2017-08-21","boxscore","BOS","CLE","L-wo","Allen","Workman","","3:39","N",21428,77,87,69
"125",125,2017,"2017-08-22","boxscore","BOS","CLE","W","Fister","Carrasco","","2:41","N",19563,79,91,70
"126",126,2017,"2017-08-23","boxscore","BOS","CLE","W","Pomeranz","Kluber","","3:11","N",25346,78,84,69
"127",127,2017,"2017-08-24","boxscore","BOS","CLE","L","Bauer","Sale","","3:28","N",21643,72,81,64
"128",128,2017,"2017-08-25","boxscore","BOS","BAL","L","Hellickson","Porcello","","3:37","N",37191,68,76,63
"129",129,2017,"2017-08-26","boxscore","BOS","BAL","L","Gausman","Rodriguez","","2:58","D",36655,67,74,60
"130",130,2017,"2017-08-27","boxscore","BOS","BAL","L","Miley","Fister","Brach","3:22","D",36625,65,71,58
"131",131,2017,"2017-08-28","boxscore","BOS","TOR","W","Pomeranz","Barnes","Kimbrel","3:23","N",35630,65,72,57
"132",132,2017,"2017-08-29","boxscore","BOS","TOR","W","Sale","Anderson","Kimbrel","2:44","N",34674,63,68,58
"133",133,2017,"2017-08-30","boxscore","BOS","TOR","W","Porcello","Koehler","","2:58","N",37693,65,72,59
"134",134,2017,"2017-08-31","boxscore","BOS","NYY","L","Sabathia","Rodriguez","","3:44","N",43309,68,79,60
"135",135,2017,"2017-09-01","boxscore","BOS","NYY","W","Fister","Gray","Kimbrel","2:44","N",42332,62,69,53
"136",136,2017,"2017-09-02","boxscore","BOS","NYY","L","Tanaka","Pomeranz","","2:58","D",46536,60,68,53
"137",137,2017,"2017-09-03","boxscore","BOS","NYY","L","Severino","Sale","","3:46","N",46717,60,64,57
"138",138,2017,"2017-09-04","boxscore","BOS","TOR","L","Happ","Porcello","","3:25","N",34311,66,81,58
"139",139,2017,"2017-09-05","boxscore","BOS","TOR","W-wo","Velazquez","Rowley","","6:00","N",33009,74,88,65
"140",140,2017,"2017-09-06","boxscore","BOS","TOR","W","Fister","Biagini","","2:57","N",33190,70,79,62
"141",141,2017,"2017-09-08","boxscore","BOS","TBR","W","Pomeranz","Archer","","3:14","N",34781,65,74,59
"142",142,2017,"2017-09-09","boxscore","BOS","TBR","W","Sale","Andriese","","3:05","N",36734,62,68,55
"143",143,2017,"2017-09-10","boxscore","BOS","TBR","L","Cobb","Porcello","Colome","3:22","D",35859,62,69,56
"144",144,2017,"2017-09-12","boxscore","BOS","OAK","W","Rodriguez","Manaea","","3:06","N",34355,72,86,61
"145",145,2017,"2017-09-13","boxscore","BOS","OAK","L","Cotton","Fister","","3:07","N",36366,71,78,64
"146",146,2017,"2017-09-14","boxscore","BOS","OAK","W","Pomeranz","Gossett","","3:19","D",35470,74,84,67
"147",147,2017,"2017-09-15","boxscore","BOS","TBR","W","Workman","Pruitt","","6:05","N",16006,71,77,66
"148",148,2017,"2017-09-16","boxscore","BOS","TBR","W","Porcello","Cobb","Kimbrel","2:44","N",14942,67,73,62
"149",149,2017,"2017-09-17","boxscore","BOS","TBR","L","Odorizzi","Rodriguez","Colome","2:37","D",14936,65,73,61
"150",150,2017,"2017-09-18","boxscore","BOS","BAL","W","Barnes","Castro","Smith","4:24","N",16716,65,68,63
"151",151,2017,"2017-09-19","boxscore","BOS","BAL","W","Kelly","Brach","Barnes","3:27","N",21449,64,66,63
"152",152,2017,"2017-09-20","boxscore","BOS","BAL","W","Sale","Miley","","3:11","N",16906,66,72,63
"153",153,2017,"2017-09-22","boxscore","BOS","CIN","W","Price","Romano","Kimbrel","2:45","N",23463,61,63,57
"154",154,2017,"2017-09-23","boxscore","BOS","CIN","W","Rodriguez","Stephenson","","2:51","D",36076,64,76,60
"155",155,2017,"2017-09-24","boxscore","BOS","CIN","W","Scott","Iglesias","Kimbrel","3:11","D",25545,68,79,61
"156",156,2017,"2017-09-25","boxscore","BOS","TOR","L","Anderson","Pomeranz","Osuna","2:57","N",33940,71,78,64
"157",157,2017,"2017-09-26","boxscore","BOS","TOR","L","Happ","Sale","","3:04","N",33999,69,80,63
"158",158,2017,"2017-09-27","boxscore","BOS","TOR","W","Porcello","Estrada","","2:57","N",34445,74,86,65
"159",159,2017,"2017-09-28","boxscore","BOS","HOU","L","Peacock","Rodriguez","","3:31","N",34222,75,78,57
"160",160,2017,"2017-09-29","boxscore","BOS","HOU","L","Morton","Fister","Giles","2:47","N",36623,59,68,52
"161",161,2017,"2017-09-30","boxscore","BOS","HOU","W","Pomeranz","McCullers","","3:19","D",35722,56,59,50
"162",162,2017,"2017-10-01","boxscore","BOS","HOU","L","McHugh","Abad","Clippard","3:09","D",34517,55,66,47
"163",1,2016,"2016-04-05","boxscore","BOS","CLE","W","Price","Kluber","","3:13","D",34493,29,37,22
"164",2,2016,"2016-04-06","boxscore","BOS","CLE","L","McAllister","Tazawa","Allen","3:29","N",10298,33,42,25
"165",3,2016,"2016-04-08","boxscore","BOS","TOR","W","Barnes","Storen","Kimbrel","3:24","N",48871,49,53,37
"166",4,2016,"2016-04-09","boxscore","BOS","TOR","W","Porcello","Dickey","","2:48","D",47138,39,46,32
"167",5,2016,"2016-04-10","boxscore","BOS","TOR","L","Estrada","Wright","Osuna","2:27","D",46158,39,49,31
"168",6,2016,"2016-04-11","boxscore","BOS","BAL","L","Brach","Kimbrel","Britton","3:26","D",37160,48,60,42
"169",7,2016,"2016-04-12","boxscore","BOS","BAL","L","Wright","Buchholz","","3:23","N",31114,55,60,43
"170",8,2016,"2016-04-13","boxscore","BOS","BAL","W","Kelly","Jimenez","Kimbrel","3:13","N",31011,45,50,38
"171",9,2016,"2016-04-15","boxscore","BOS","TOR","W","Porcello","Dickey","Kimbrel","3:02","N",31415,45,54,38
"172",10,2016,"2016-04-16","boxscore","BOS","TOR","W","Price","Estrada","Kimbrel","2:43","D",36267,47,54,41
"173",11,2016,"2016-04-17","boxscore","BOS","TOR","L","Sanchez","Wright","","3:09","D",37217,46,54,39
"174",12,2016,"2016-04-18","boxscore","BOS","TOR","L","Happ","Uehara","Storen","3:12","D",37168,51,67,42
"175",13,2016,"2016-04-19","boxscore","BOS","TBR","L","Ramirez","Barnes","Colome","3:25","N",32061,47,54,44
"176",14,2016,"2016-04-20","boxscore","BOS","TBR","W","Porcello","Archer","","3:02","N",31689,49,51,44
"177",15,2016,"2016-04-21","boxscore","BOS","TBR","L","Ramirez","Cuevas","Colome","4:16","D",37954,55,77,43
"178",16,2016,"2016-04-22","boxscore","BOS","HOU","W","Wright","McHugh","Kimbrel","3:28","N",26672,65,78,58
"179",17,2016,"2016-04-23","boxscore","BOS","HOU","L","Fiers","Buchholz","","3:28","D",40232,60,64,48
"180",18,2016,"2016-04-24","boxscore","BOS","HOU","W","Hembree","Giles","","5:03","N",32416,48,50,42
"181",19,2016,"2016-04-25","boxscore","BOS","ATL","W","Porcello","Teheran","Kimbrel","2:55","N",22735,48,57,44
"182",20,2016,"2016-04-26","boxscore","BOS","ATL","W","Price","Wisler","","2:52","N",23487,45,51,37
"183",21,2016,"2016-04-27","boxscore","BOS","ATL","W","Wright","Norris","","3:02","N",33380,45,62,37
"184",22,2016,"2016-04-28","boxscore","BOS","ATL","L","Chacin","Buchholz","Vizcaino","3:22","N",32232,49,54,41
"185",23,2016,"2016-04-29","boxscore","BOS","NYY","W","Uehara","Betances","Kimbrel","2:50","N",37115,47,51,43
"186",24,2016,"2016-04-30","boxscore","BOS","NYY","W","Porcello","Pineda","","3:30","N",37901,49,55,41
"187",25,2016,"2016-05-01","boxscore","BOS","NYY","W","Price","Nova","Kimbrel","3:17","N",34279,48,53,43
"188",26,2016,"2016-05-03","boxscore","BOS","CHW","L","Quintana","Wright","Robertson","2:53","N",15025,47,49,45
"189",27,2016,"2016-05-04","boxscore","BOS","CHW","W","Buchholz","Rodon","Kimbrel","2:46","N",14383,46,50,43
"190",28,2016,"2016-05-05","boxscore","BOS","CHW","W","Barnes","Johnson","","3:57","N",20126,45,47,44
"191",29,2016,"2016-05-06","boxscore","BOS","NYY","L","Yates","Porcello","Miller","3:10","N",45756,48,53,46
"192",30,2016,"2016-05-07","boxscore","BOS","NYY","L","Eovaldi","Price","","3:09","D",47822,47,51,46
"193",31,2016,"2016-05-08","boxscore","BOS","NYY","W","Wright","Severino","","2:27","N",41869,52,63,46
"194",32,2016,"2016-05-09","boxscore","BOS","OAK","W","Buchholz","Gray","","3:46","N",35227,55,66,46
"195",33,2016,"2016-05-10","boxscore","BOS","OAK","W","O'Sullivan","Manaea","","3:07","N",32167,57,71,47
"196",34,2016,"2016-05-11","boxscore","BOS","OAK","W","Porcello","Surkamp","","3:17","N",33283,61,68,54
"197",35,2016,"2016-05-12","boxscore","BOS","HOU","W","Price","Keuchel","","2:56","N",34982,61,66,54
"198",36,2016,"2016-05-13","boxscore","BOS","HOU","L","Feldman","Barnes","Gregerson","3:49","N",33148,61,74,52
"199",37,2016,"2016-05-14","boxscore","BOS","HOU","W-wo","Uehara","Feliz","","4:13","D",37430,66,77,59
"200",38,2016,"2016-05-15","boxscore","BOS","HOU","W","Hembree","Feldman","Kimbrel","3:40","D",35736,58,61,45
"201",39,2016,"2016-05-17","boxscore","BOS","KCR","L","Ventura","Porcello","","2:54","N",25215,59,70,50
"202",40,2016,"2016-05-18","boxscore","BOS","KCR","L","Flynn","Wright","Davis","2:23","D",33613,57,59,49
"203",41,2016,"2016-05-18","boxscore","BOS","KCR","W","Price","Volquez","Kimbrel","3:06","N",23739,57,59,49
"204",42,2016,"2016-05-20","boxscore","BOS","CLE","L","Kluber","Buchholz","Allen","3:07","N",37354,60,71,51
"205",43,2016,"2016-05-21","boxscore","BOS","CLE","W","Kelly","Bauer","","3:17","D",37254,64,76,53
"206",44,2016,"2016-05-22","boxscore","BOS","CLE","W","Porcello","Salazar","Kimbrel","3:23","D",36021,57,62,52
"207",45,2016,"2016-05-24","boxscore","BOS","COL","W","Price","De La Rosa","","2:55","N",36123,56,59,52
"208",46,2016,"2016-05-25","boxscore","BOS","COL","W","Wright","Bettis","","3:09","N",36430,63,88,53
"209",47,2016,"2016-05-26","boxscore","BOS","COL","L","Gray","Buchholz","","2:51","N",36162,72,79,58
"210",48,2016,"2016-05-27","boxscore","BOS","TOR","L","Biagini","Uehara","Osuna","2:53","N",46470,62,73,58
"211",49,2016,"2016-05-28","boxscore","BOS","TOR","L-wo","Floyd","Kimbrel","","3:37","D",48154,76,92,67
"212",50,2016,"2016-05-29","boxscore","BOS","TOR","W","Buchholz","Floyd","Uehara","4:07","D",47916,65,77,53
"213",51,2016,"2016-05-30","boxscore","BOS","BAL","W","Wright","Wilson","","2:54","D",43926,58,76,52
"214",52,2016,"2016-05-31","boxscore","BOS","BAL","W","Rodriguez","Gausman","","2:48","N",17664,76,87,68
"215",53,2016,"2016-06-01","boxscore","BOS","BAL","L","Brach","Buchholz","Britton","3:58","N",20750,69,73,57
"216",54,2016,"2016-06-02","boxscore","BOS","BAL","L","Givens","Ross","","2:57","N",21534,58,62,56
"217",55,2016,"2016-06-03","boxscore","BOS","TOR","L","Dickey","Price","Osuna","3:10","N",37129,60,70,57
"218",56,2016,"2016-06-04","boxscore","BOS","TOR","W","Wright","Stroman","Kimbrel","3:08","D",37762,65,70,61
"219",57,2016,"2016-06-05","boxscore","BOS","TOR","L","Estrada","Rodriguez","","2:44","D",35823,64,68,60
"220",58,2016,"2016-06-07","boxscore","BOS","SFG","W","Tazawa","Casilla","Kimbrel","3:04","N",41512,74,86,63
"221",59,2016,"2016-06-08","boxscore","BOS","SFG","L","Gearrin","Price","Strickland","2:45","N",41635,67,74,57
"222",60,2016,"2016-06-10","boxscore","BOS","MIN","W","Wright","Duffey","","3:00","N",22786,62,72,55
"223",61,2016,"2016-06-11","boxscore","BOS","MIN","W","Hembree","Gibson","","3:45","D",28633,61,68,54
"224",62,2016,"2016-06-12","boxscore","BOS","MIN","L-wo","Tonkin","Barnes","","3:28","D",26087,68,80,55
"225",63,2016,"2016-06-14","boxscore","BOS","BAL","L","Tillman","Price","Britton","2:47","N",38009,67,79,55
"226",64,2016,"2016-06-15","boxscore","BOS","BAL","W","Wright","Gausman","Kimbrel","2:58","N",36233,74,85,66
"227",65,2016,"2016-06-16","boxscore","BOS","BAL","L","Wilson","Rodriguez","","2:53","N",36757,71,77,61
"228",66,2016,"2016-06-17","boxscore","BOS","SEA","L","Iwakuma","Elias","Cishek","2:49","N",35896,66,74,59
"229",67,2016,"2016-06-18","boxscore","BOS","SEA","W","Porcello","Sampson","","2:53","D",37195,66,72,60
"230",68,2016,"2016-06-19","boxscore","BOS","SEA","W","Price","Diaz","Kimbrel","3:05","D",37211,68,82,57
"231",69,2016,"2016-06-20","boxscore","BOS","CHW","L","Duke","Kimbrel","Robertson","3:33","N",36291,71,83,60
"232",70,2016,"2016-06-21","boxscore","BOS","CHW","L","Sale","Buchholz","Robertson","2:54","N",36544,73,87,64
"233",71,2016,"2016-06-22","boxscore","BOS","CHW","L","Jennings","Uehara","Duke","3:38","N",37413,72,78,64
"234",72,2016,"2016-06-23","boxscore","BOS","CHW","W-wo","Kimbrel","Purke","","4:25","D",37790,69,77,60
